TimeCreated,Computer,TargetUserName,LogonType,AuthenticationPackage,IpAddress,LmPackageName,ProcessName
2023-11-19 09:01:14,WIN-FIN-07,CORP\a.spanos,2,Kerberos,-,Advapi,winlogon.exe
2023-11-19 09:01:22,WIN-FIN-07,CORP\svc_sql,5,Negotiate,-,Advapi,services.exe
2023-11-19 09:45:03,WIN-FIN-07,CORP\a.spanos,3,Kerberos,10.10.30.44,Kerberos,-
2023-11-19 10:12:44,WIN-FIN-07,CORP\svc_backup,5,Negotiate,-,Advapi,services.exe
2023-11-19 11:30:08,WIN-FIN-07,CORP\a.spanos,3,Kerberos,10.10.30.44,Kerberos,-
2023-11-19 12:45:01,WIN-FIN-07,CORP\a.spanos,3,Kerberos,10.10.30.44,Kerberos,-
2023-11-19 13:20:01,WIN-FIN-07,CORP\svc_backup,3,NTLM,10.10.20.99,NtLmSsp,-
2023-11-19 13:24:00,WIN-FIN-07,CORP\svc_backup,3,NTLM,10.10.20.99,NtLmSsp,-
2023-11-19 14:02:11,WIN-FIN-07,CORP\p.fiskilis,2,Kerberos,-,Advapi,winlogon.exe
2023-11-19 14:55:30,WIN-FIN-07,CORP\a.spanos,3,Kerberos,10.10.30.44,Kerberos,-
